"","sample","maxn","latitude","longitude","depth","ZoneName"
"128","36",0,-33.4269,115.20765,38.2,"Special Purpose Zone (Mining Exclusion)"
"131","37",0,-33.3585,115.3721,30.3,"Special Purpose Zone (Mining Exclusion)"
"132","375",21,-33.5902167,115.2205667,26.9,"Habitat Protection Zone"
"133","378",4,-33.5555833,115.3912,13.3,"National Park Zone"
"134","38",0,-33.5036833,115.1274333,34.5,"Multiple Use Zone"
"135","384",5,-33.4274667,115.51415,13.5,"Special Purpose Zone (Mining Exclusion)"
"136","39",4,-33.465,115.43285,19.8,"Special Purpose Zone (Mining Exclusion)"
"137","391",4,-33.50165,115.4101333,17,"Multiple Use Zone"
"138","394",3,-33.5181,115.3820167,19,"Multiple Use Zone"
"141","4",0,-33.3921,115.2280833,38.4,"Special Purpose Zone (Mining Exclusion)"
"142","40",0,-33.4719667,115.2287167,33.7,"Special Purpose Zone (Mining Exclusion)"
"143","400",0,-33.3575833,115.5516833,9.8,"Special Purpose Zone (Mining Exclusion)"
"144","407",28,-33.4881667,115.4274667,16.2,"Multiple Use Zone"
"145","41",0,-33.36785,115.0985833,42.5,"Special Purpose Zone (Mining Exclusion)"
"147","42",1,-33.5425167,115.3862333,13,"National Park Zone"
"149","432",2,-33.4270333,115.4686,10.7,"Special Purpose Zone (Mining Exclusion)"
"151","44",12,-33.3984333,115.30965,34.4,"Special Purpose Zone (Mining Exclusion)"
"152","442",3,-33.5066,115.41935,14.3,"Multiple Use Zone"
"153","443",6,-33.5698,115.2024833,27,"Habitat Protection Zone"
"154","448",7,-33.3965,115.4930667,10.6,"Special Purpose Zone (Mining Exclusion)"
"155","45",0,-33.4445667,115.13165,41.1,"Special Purpose Zone (Mining Exclusion)"
"157","455",0,-33.5671333,115.1820333,24.9,"Multiple Use Zone"
"159","46",0,-33.4028,115.3493,18,"Special Purpose Zone (Mining Exclusion)"
"161","47",1,-33.5485,115.2877667,24.3,"Multiple Use Zone"
"163","48",0,-33.40275,115.5133833,17.2,"Special Purpose Zone (Mining Exclusion)"
"165","49",0,-33.3809167,115.2720667,37.7,"Special Purpose Zone (Mining Exclusion)"
"166","490",3,-33.5613,115.3612,13.4,"Multiple Use Zone"
"170","5",20,-33.3627833,115.45495,25.7,"Special Purpose Zone (Mining Exclusion)"
"171","50",1,-33.4108,115.1742333,40.5,"Special Purpose Zone (Mining Exclusion)"
"172","503",0,-33.5845333,115.3097667,16.3,"Multiple Use Zone"
"173","506",42,-33.5173833,115.4165,14.1,"Multiple Use Zone"
"174","51",4,-33.4315667,115.41365,25.4,"Special Purpose Zone (Mining Exclusion)"
"176","52",0,-33.49265,115.2982,29.7,"Multiple Use Zone"
"177","523",1,-33.5634333,115.1589167,26,"Multiple Use Zone"
"178","527",21,-33.5894167,115.2078167,26.8,"Habitat Protection Zone"
"180","53",0,-33.3582167,115.3565167,31.4,"Special Purpose Zone (Mining Exclusion)"
"182","54",26,-33.51305,115.1532,33.1,"Multiple Use Zone"
"183","543",7,-33.5950333,115.2434,16.7,"Multiple Use Zone"
"184","544",6,-33.4464167,115.43405,12.3,"Special Purpose Zone (Mining Exclusion)"
"185","55",1,-33.5708667,115.2801167,22.2,"Multiple Use Zone"
"187","554",1,-33.55765,115.3835167,12.3,"National Park Zone"
"188","56",3,-33.4953,115.2224167,32,"Multiple Use Zone"
"190","567",14,-33.5866833,115.2760167,17.4,"Multiple Use Zone"
"191","570",0,-33.5731333,115.1625333,24.6,"Multiple Use Zone"
"193","579",5,-33.5017167,115.37405,22,"Multiple Use Zone"
"194","58",0,-33.56965,115.3795833,13.5,"National Park Zone"
"195","583",2,-33.47835,115.3932,12,"Special Purpose Zone (Mining Exclusion)"
"196","586",1,-33.5309167,115.38595,15.8,"National Park Zone"
"199","599",6,-33.5021167,115.4508,13.9,"Multiple Use Zone"
"200","6",9,-33.4070833,115.1204167,41.8,"Special Purpose Zone (Mining Exclusion)"
"201","60",0,-33.3626167,115.5049333,21.5,"Special Purpose Zone (Mining Exclusion)"
"203","608",8,-33.4551833,115.4702833,16.7,"Special Purpose Zone (Mining Exclusion)"
