Time on GPS,Time on GPS Adjusted to remove rounding error,Time correction for Layback,Corrected time,Rounded to nearest second,Transect,Long,Lat,Matched_image_name,Date-time,Speed,Unknown2,Date,NA,Unknown3,Unknown4,Date,,
11:47:29,11:47:29,0:00:48,11:48:17,11:48:17,NPZT1,115.3951467,33.53501333,L1120_NPZT1_11_40_37_0094,5/19/2020 11:47,1.08,238.47,190520,NA,NA,D*73,190520,223,
11:47:34,11:47:34,0:00:48,11:48:22,11:48:22,NPZT1,115.3951183,33.53502,L1120_NPZT1_11_40_37_0095,5/19/2020 11:47,1.07,239.59,190520,NA,NA,D*7A,190520,228,
11:47:39,11:47:39,0:00:48,11:48:27,11:48:27,NPZT1,115.3950933,33.53503167,L1120_NPZT1_11_40_37_0096,5/19/2020 11:47,1.07,237.61,190520,NA,NA,D*75,190520,233,
11:47:44,11:47:44,0:00:48,11:48:32,11:48:32,NPZT1,115.395065,33.53504833,L1120_NPZT1_11_40_37_0097,5/19/2020 11:47,1.12,234.89,190520,NA,NA,D*7B,190520,238,
11:47:49,11:47:49,0:00:48,11:48:37,11:48:37,NPZT1,115.395035,33.53506167,L1120_NPZT1_11_40_37_0098,5/19/2020 11:47,1.13,235.87,190520,NA,NA,D*71,190520,243,
11:47:54,11:47:54,0:00:48,11:48:42,11:48:42,NPZT1,115.3950083,33.53507333,L1120_NPZT1_11_40_37_0099,5/19/2020 11:47,1.05,237.78,190520,NA,NA,D*73,190520,248,
11:47:59,11:47:59,0:00:48,11:48:47,11:48:47,NPZT1,115.39498,33.53508667,L1120_NPZT1_11_40_37_0100,5/19/2020 11:47,1.02,238.27,190520,NA,NA,D*7F,190520,253,
11:48:04,11:48:04,0:00:48,11:48:52,11:48:52,NPZT1,115.39495,33.5351,L1120_NPZT1_11_40_37_0101,5/19/2020 11:48,1.12,241.89,190520,NA,NA,D*77,190520,258,
11:48:09,11:48:09,0:00:48,11:48:57,11:48:57,NPZT1,115.3949267,33.53511,L1120_NPZT1_11_40_37_0102,5/19/2020 11:48,1,241.87,190520,NA,NA,D*77,190520,263,
11:48:14,11:48:14,0:00:48,11:49:02,11:49:02,NPZT1,115.3948983,33.53512,L1120_NPZT1_11_40_37_0103,5/19/2020 11:48,0.99,243.81,190520,NA,NA,D*7B,190520,268,
11:48:19,11:48:19,0:00:48,11:49:07,11:49:07,NPZT1,115.3948733,33.53513,L1120_NPZT1_11_40_37_0104,5/19/2020 11:48,0.96,242.08,190520,NA,NA,D*76,190520,273,
11:48:24,11:48:24,0:00:48,11:49:12,11:49:12,NPZT1,115.3948467,33.53513833,L1120_NPZT1_11_40_37_0105,5/19/2020 11:48,1,244.84,190520,NA,NA,D*75,190520,278,
11:48:29,11:48:29,0:00:48,11:49:17,11:49:17,NPZT1,115.394825,33.535145,L1120_NPZT1_11_40_37_0106,5/19/2020 11:48,0.92,242.32,190520,NA,NA,D*73,190520,283,
11:48:34,11:48:34,0:00:48,11:49:22,11:49:22,NPZT1,115.3948017,33.53515333,L1120_NPZT1_11_40_37_0107,5/19/2020 11:48,0.93,242.83,190520,NA,NA,D*7C,190520,288,
11:48:39,11:48:39,0:00:48,11:49:27,11:49:27,NPZT1,115.3947767,33.53516833,L1120_NPZT1_11_40_37_0108,5/19/2020 11:48,1.01,241.39,190520,NA,NA,D*72,190520,293,
11:48:44,11:48:44,0:00:48,11:49:32,11:49:32,NPZT1,115.394755,33.535175,L1120_NPZT1_11_40_37_0109,5/19/2020 11:48,0.95,242.59,190520,NA,NA,D*7C,190520,298,
11:48:49,11:48:49,0:00:48,11:49:37,11:49:37,NPZT1,115.3947283,33.535185,L1120_NPZT1_11_40_37_0110,5/19/2020 11:48,1,246.39,190520,NA,NA,D*76,190520,303,
11:48:54,11:48:54,0:00:48,11:49:42,11:49:42,NPZT1,115.394695,33.53519833,L1120_NPZT1_11_40_37_0111,5/19/2020 11:48,1.07,248.02,190520,NA,NA,D*78,190520,308,
11:48:59,11:48:59,0:00:48,11:49:47,11:49:47,NPZT1,115.39467,33.53521,L1120_NPZT1_11_40_37_0112,5/19/2020 11:48,1.02,249.15,190520,NA,NA,D*76,190520,313,
11:49:04,11:49:04,0:00:48,11:49:52,11:49:52,NPZT1,115.3946383,33.53521667,L1120_NPZT1_11_40_37_0113,5/19/2020 11:49,1.05,253.32,190520,NA,NA,D*7B,190520,318,
11:49:09,11:49:09,0:00:48,11:49:57,11:49:57,NPZT1,115.394615,33.53522667,L1120_NPZT1_11_40_37_0114,5/19/2020 11:49,1.01,250.6,190520,NA,NA,D*78,190520,323,
11:49:14,11:49:14,0:00:48,11:50:02,11:50:02,NPZT1,115.3945883,33.53523333,L1120_NPZT1_11_40_37_0115,5/19/2020 11:49,1.05,250.74,190520,NA,NA,D*74,190520,328,
11:49:19,11:49:19,0:00:48,11:50:07,11:50:07,NPZT1,115.39456,33.53524167,L1120_NPZT1_11_40_37_0116,5/19/2020 11:49,1.09,246.62,190520,NA,NA,D*7A,190520,333,
11:49:24,11:49:24,0:00:48,11:50:12,11:50:12,NPZT1,115.3945317,33.53524833,L1120_NPZT1_11_40_37_0117,5/19/2020 11:49,1.07,242.52,190520,NA,NA,D*77,190520,338,
11:49:29,11:49:29,0:00:48,11:50:17,11:50:17,NPZT1,115.3945033,33.53525833,L1120_NPZT1_11_40_37_0118,5/19/2020 11:49,1.13,244.64,190520,NA,NA,D*70,190520,343,
11:49:34,11:49:34,0:00:48,11:50:22,11:50:22,NPZT1,115.394475,33.53526833,L1120_NPZT1_11_40_37_0119,5/19/2020 11:49,1.07,245.31,190520,NA,NA,D*78,190520,348,
11:49:39,11:49:39,0:00:48,11:50:27,11:50:27,NPZT1,115.39445,33.53528333,L1120_NPZT1_11_40_37_0120,5/19/2020 11:49,1.07,240.15,190520,NA,NA,D*75,190520,353,
11:49:44,11:49:44,0:00:48,11:50:32,11:50:32,NPZT1,115.3944183,33.53529667,L1120_NPZT1_11_40_37_0121,5/19/2020 11:49,1.06,245.8,190520,NA,NA,D*73,190520,358,
11:49:49,11:49:49,0:00:48,11:50:37,11:50:37,NPZT1,115.394395,33.53530667,L1120_NPZT1_11_40_37_0122,5/19/2020 11:49,1,246.84,190520,NA,NA,D*73,190520,363,
11:49:54,11:49:54,0:00:48,11:50:42,11:50:42,NPZT1,115.3943667,33.53531667,L1120_NPZT1_11_40_37_0123,5/19/2020 11:49,0.97,244.23,190520,NA,NA,D*75,190520,368,
11:49:59,11:49:59,0:00:48,11:50:47,11:50:47,NPZT1,115.3943333,33.53532,L1120_NPZT1_11_40_37_0124,5/19/2020 11:49,1.2,251.15,190520,NA,NA,D*7D,190520,373,
11:50:04,11:50:04,0:00:48,11:50:52,11:50:52,NPZT1,115.3943133,33.535325,L1120_NPZT1_11_40_37_0125,5/19/2020 11:50,0.9,244.28,190520,NA,NA,D*7C,190520,378,
12:31:07,12:31:07,0:01:43,12:32:50,12:32:50,NPZT2,115.38915,33.541525,L1120_NPZT2_12_24_55_0097,5/19/2020 12:31,0.55,-4.3,M,-30.8,NA,*77,M,1,
12:31:12,12:31:12,0:01:43,12:32:55,12:32:55,NPZT2,115.3891483,33.54156167,L1120_NPZT2_12_24_55_0098,5/19/2020 12:31,0.54,-4.4,M,-30.8,NA,*77,M,6,
12:31:17,12:31:17,0:01:43,12:33:00,12:33:00,NPZT2,115.3891533,33.541605,L1120_NPZT2_12_24_55_0099,5/19/2020 12:31,0.54,-4.5,M,-30.8,NA,*76,M,11,
12:31:22,12:31:22,0:01:43,12:33:05,12:33:05,NPZT2,115.3891583,33.54164,L1120_NPZT2_12_24_55_0100,5/19/2020 12:31,0.54,-4.4,M,-30.8,NA,*73,M,16,
12:31:27,12:31:27,0:01:43,12:33:10,12:33:10,NPZT2,115.3891667,33.54168,L1120_NPZT2_12_24_55_0101,5/19/2020 12:31,0.54,-4.5,M,-30.8,NA,*78,M,21,
12:31:32,12:31:32,0:01:43,12:33:15,12:33:15,NPZT2,115.389165,33.54171833,L1120_NPZT2_12_24_55_0102,5/19/2020 12:31,0.54,-4.5,M,-30.8,NA,*7B,M,26,
12:31:37,12:31:37,0:01:43,12:33:20,12:33:20,NPZT2,115.3891683,33.54175833,L1120_NPZT2_12_24_55_0103,5/19/2020 12:31,0.54,-4.4,M,-30.8,NA,*73,M,31,
12:31:42,12:31:42,0:01:43,12:33:25,12:33:25,NPZT2,115.38915,33.5418,L1120_NPZT2_12_24_55_0104,5/19/2020 12:31,0.54,-4.3,M,-30.8,NA,*7F,M,36,
12:31:47,12:31:47,0:01:43,12:33:30,12:33:30,NPZT2,115.3891183,33.54183833,L1120_NPZT2_12_24_55_0105,5/19/2020 12:31,0.54,-4.2,M,-30.8,NA,*70,M,41,
12:31:52,12:31:52,0:01:43,12:33:35,12:33:35,NPZT2,115.3890817,33.54187,L1120_NPZT2_12_24_55_0106,5/19/2020 12:31,0.54,-4.2,M,-30.8,NA,*74,M,46,
12:31:57,12:31:57,0:01:43,12:33:40,12:33:40,NPZT2,115.3890467,33.54189333,L1120_NPZT2_12_24_55_0107,5/19/2020 12:31,0.54,-4.1,M,-30.8,NA,*7E,M,51,
12:32:02,12:32:02,0:01:43,12:33:45,12:33:45,NPZT2,115.3890083,33.54192333,L1120_NPZT2_12_24_55_0108,5/19/2020 12:32,0.54,-4,M,-30.8,NA,*7E,M,56,
12:32:07,12:32:07,0:01:43,12:33:50,12:33:50,NPZT2,115.3889717,33.541945,L1120_NPZT2_12_24_55_0109,5/19/2020 12:32,0.54,-3.8,M,-30.8,NA,*73,M,61,
12:32:12,12:32:12,0:01:43,12:33:55,12:33:55,NPZT2,115.3889367,33.54197167,L1120_NPZT2_12_24_55_0110,5/19/2020 12:32,0.54,-3.8,M,-30.8,NA,*7B,M,66,
12:32:17,12:32:17,0:01:43,12:34:00,12:34:00,NPZT2,115.3889033,33.542005,L1120_NPZT2_12_24_55_0111,5/19/2020 12:32,0.54,-3.8,M,-30.8,NA,*79,M,71,
12:32:22,12:32:22,0:01:43,12:34:05,12:34:05,NPZT2,115.3888617,33.54203333,L1120_NPZT2_12_24_55_0112,5/19/2020 12:32,0.54,-3.8,M,-30.8,NA,*72,M,76,
12:32:27,12:32:27,0:01:43,12:34:10,12:34:10,NPZT2,115.3888283,33.54206333,L1120_NPZT2_12_24_55_0113,5/19/2020 12:32,0.54,-3.6,M,-30.8,NA,*77,M,81,
12:32:32,12:32:32,0:01:43,12:34:15,12:34:15,NPZT2,115.3887917,33.54209167,L1120_NPZT2_12_24_55_0114,5/19/2020 12:32,0.58,-3.3,M,-30.8,NA,*70,M,86,
12:32:37,12:32:37,0:01:43,12:34:20,12:34:20,NPZT2,115.3887567,33.54211833,L1120_NPZT2_12_24_55_0115,5/19/2020 12:32,0.54,-3,M,-30.8,NA,*70,M,91,
12:32:42,12:32:42,0:01:43,12:34:25,12:34:25,NPZT2,115.3887283,33.54214667,L1120_NPZT2_12_24_55_0116,5/19/2020 12:32,0.54,-2.9,M,-30.8,NA,*71,M,96,
12:32:47,12:32:47,0:01:43,12:34:30,12:34:30,NPZT2,115.3886833,33.54217167,L1120_NPZT2_12_24_55_0117,5/19/2020 12:32,0.54,-2.8,M,-30.8,NA,*7C,M,101,
12:32:52,12:32:52,0:01:43,12:34:35,12:34:35,NPZT2,115.3886567,33.54220667,L1120_NPZT2_12_24_55_0118,5/19/2020 12:32,0.54,-2.7,M,-30.8,NA,*75,M,106,
12:32:57,12:32:57,0:01:43,12:34:40,12:34:40,NPZT2,115.3886417,33.54224167,L1120_NPZT2_12_24_55_0119,5/19/2020 12:32,0.54,-2.9,M,-30.8,NA,*77,M,111,
12:33:02,12:33:02,0:01:43,12:34:45,12:34:45,NPZT2,115.3886267,33.542275,L1120_NPZT2_12_24_55_0120,5/19/2020 12:33,0.55,-2.9,M,-30.8,NA,*73,M,116,
12:33:07,12:33:07,0:01:43,12:34:50,12:34:50,NPZT2,115.38863,33.54231167,L1120_NPZT2_12_24_55_0121,5/19/2020 12:33,0.54,-3,M,-30.8,NA,*72,M,121,
12:33:12,12:33:12,0:01:43,12:34:55,12:34:55,NPZT2,115.38863,33.54235167,L1120_NPZT2_12_24_55_0122,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*76,M,126,
12:33:17,12:33:17,0:01:43,12:35:00,12:35:00,NPZT2,115.3886267,33.54239167,L1120_NPZT2_12_24_55_0123,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*75,M,131,
12:33:22,12:33:22,0:01:43,12:35:05,12:35:05,NPZT2,115.3886267,33.54243,L1120_NPZT2_12_24_55_0124,5/19/2020 12:33,0.57,-3,M,-30.8,NA,*75,M,136,
12:33:27,12:33:27,0:01:43,12:35:10,12:35:10,NPZT2,115.3886083,33.54247,L1120_NPZT2_12_24_55_0125,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*7A,M,141,
12:33:32,12:33:32,0:01:43,12:35:15,12:35:15,NPZT2,115.3885833,33.54250667,L1120_NPZT2_12_24_55_0126,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*7B,M,146,
12:33:37,12:33:37,0:01:43,12:35:20,12:35:20,NPZT2,115.38856,33.54254167,L1120_NPZT2_12_24_55_0127,5/19/2020 12:33,0.57,-3,M,-30.8,NA,*72,M,151,
12:33:42,12:33:42,0:01:43,12:35:25,12:35:25,NPZT2,115.3885217,33.54256667,L1120_NPZT2_12_24_55_0128,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*7D,M,156,
12:33:47,12:33:47,0:01:43,12:35:30,12:35:30,NPZT2,115.3884783,33.54258667,L1120_NPZT2_12_24_55_0129,5/19/2020 12:33,0.57,-3.2,M,-30.8,NA,*7A,M,161,
12:33:52,12:33:52,0:01:43,12:35:35,12:35:35,NPZT2,115.3884367,33.54261,L1120_NPZT2_12_24_55_0130,5/19/2020 12:33,0.57,-3.1,M,-30.8,NA,*79,M,166,
12:33:57,12:33:57,0:01:43,12:35:40,12:35:40,NPZT2,115.3883883,33.54263167,L1120_NPZT2_12_24_55_0131,5/19/2020 12:33,0.57,-3,M,-30.8,NA,*79,M,171,
12:34:02,12:34:02,0:01:43,12:35:45,12:35:45,NPZT2,115.3883533,33.54265667,L1120_NPZT2_12_24_55_0132,5/19/2020 12:34,0.57,-3,M,-30.8,NA,*73,M,176,
12:34:07,12:34:07,0:01:43,12:35:50,12:35:50,NPZT2,115.3883217,33.542675,L1120_NPZT2_12_24_55_0133,5/19/2020 12:34,0.57,-3,M,-30.8,NA,*72,M,181,
12:34:12,12:34:12,0:01:43,12:35:55,12:35:55,NPZT2,115.3882883,33.54270333,L1120_NPZT2_12_24_55_0134,5/19/2020 12:34,0.57,-2.9,M,-30.8,NA,*78,M,186,
12:34:17,12:34:17,0:01:43,12:36:00,12:36:00,NPZT2,115.3882567,33.54273667,L1120_NPZT2_12_24_55_0135,5/19/2020 12:34,0.59,-3,M,-30.8,NA,*7C,M,191,
12:34:22,12:34:22,0:01:43,12:36:05,12:36:05,NPZT2,115.3882267,33.542765,L1120_NPZT2_12_24_55_0136,5/19/2020 12:34,0.57,-2.9,M,-30.8,NA,*74,M,196,
12:34:27,12:34:27,0:01:43,12:36:10,12:36:10,NPZT2,115.3882033,33.542795,L1120_NPZT2_12_24_55_0137,5/19/2020 12:34,0.57,-2.7,M,-30.8,NA,*78,M,201,
12:34:32,12:34:32,0:01:43,12:36:15,12:36:15,NPZT2,115.3881817,33.54283,L1120_NPZT2_12_24_55_0138,5/19/2020 12:34,0.57,-2.7,M,-30.8,NA,*78,M,206,
12:34:37,12:34:37,0:01:43,12:36:20,12:36:20,NPZT2,115.3881667,33.54287,L1120_NPZT2_12_24_55_0139,5/19/2020 12:34,0.57,-2.7,M,-30.8,NA,*7A,M,211,
12:34:42,12:34:42,0:01:43,12:36:25,12:36:25,NPZT2,115.3881533,33.54291,L1120_NPZT2_12_24_55_0140,5/19/2020 12:34,0.57,-2.8,M,-30.8,NA,*77,M,216,
12:34:47,12:34:47,0:01:43,12:36:30,12:36:30,NPZT2,115.3881283,33.54294167,L1120_NPZT2_12_24_55_0141,5/19/2020 12:34,0.58,-2.8,M,-30.8,NA,*73,M,221,
12:34:52,12:34:52,0:01:43,12:36:35,12:36:35,NPZT2,115.3881083,33.542975,L1120_NPZT2_12_24_55_0142,5/19/2020 12:34,0.57,-2.9,M,-30.8,NA,*76,M,226,
12:34:57,12:34:57,0:01:43,12:36:40,12:36:40,NPZT2,115.3880883,33.54301333,L1120_NPZT2_12_24_55_0143,5/19/2020 12:34,0.57,-2.9,M,-30.8,NA,*72,M,231,
12:35:02,12:35:02,0:01:43,12:36:45,12:36:45,NPZT2,115.3880683,33.54304667,L1120_NPZT2_12_24_55_0144,5/19/2020 12:35,0.57,-3,M,-30.8,NA,*71,M,236,
12:35:07,12:35:07,0:01:43,12:36:50,12:36:50,NPZT2,115.3880367,33.54307333,L1120_NPZT2_12_24_55_0145,5/19/2020 12:35,0.57,-3,M,-30.8,NA,*75,M,241,
13:56:51,13:56:51,0:00:28,13:57:19,13:57:19,NPZT3redo,115.379205,33.54802667,L1120_NPZT3_redo_13_50_09_0088,5/19/2020 13:56,0.66,-10,M,-30.8,NA,*4F,M,524,
13:56:56,13:56:56,0:00:28,13:57:24,13:57:24,NPZT3redo,115.379145,33.54804333,L1120_NPZT3_redo_13_50_09_0089,5/19/2020 13:56,0.66,-9.7,M,-30.8,NA,*79,M,529,
13:57:01,13:57:01,0:00:28,13:57:29,13:57:29,NPZT3redo,115.37909,33.548045,L1120_NPZT3_redo_13_50_09_0090,5/19/2020 13:57,0.66,-9.5,M,-30.8,NA,*73,M,534,
13:57:06,13:57:06,0:00:28,13:57:34,13:57:34,NPZT3redo,115.379045,33.54805167,L1120_NPZT3_redo_13_50_09_0091,5/19/2020 13:57,0.69,-9.6,M,-30.8,NA,*7A,M,539,
13:57:11,13:57:11,0:00:28,13:57:39,13:57:39,NPZT3redo,115.379,33.54805,L1120_NPZT3_redo_13_50_09_0092,5/19/2020 13:57,0.66,-9.6,M,-30.8,NA,*73,M,544,
13:57:16,13:57:16,0:00:28,13:57:44,13:57:44,NPZT3redo,115.3789667,33.54803667,L1120_NPZT3_redo_13_50_09_0093,5/19/2020 13:57,0.66,-9.8,M,-30.8,NA,*74,M,549,
