"","Sample","clust","coords.x1","coords.x2","Geographe"
"72","503",6,115.3097667,-33.5845333,40
"73","506",3,115.4165,-33.5173833,40
"74","523",5,115.1589167,-33.5634333,40
"75","527",2,115.2078167,-33.5894167,40
"76","543",8,115.2434,-33.5950333,40
"77","55",6,115.2801167,-33.5708667,20
"78","554",1,115.3835167,-33.55765,40
"79","567",6,115.2760167,-33.5866833,40
"80","570",5,115.1625333,-33.5731333,40
"81","58",1,115.3795833,-33.56965,40
"82","586",1,115.38595,-33.5309167,40
"83","599",10,115.4508,-33.5021167,40
"84","60",27,115.5049333,-33.3626167,40
"85","608",25,115.4702833,-33.4551833,20
"86","618",4,115.3528167,-33.5678833,40
"87","624",31,115.4918833,-33.4209667,20
"88","631",8,115.2541167,-33.5778833,40
"89","633",25,115.4535,-33.4711667,40
"90","634",3,115.4141167,-33.5336667,20
"91","635",5,115.1995667,-33.5809667,40
"92","64",31,115.50945,-33.4364167,40
"93","647",10,115.42465,-33.4926,40
"94","655",8,115.2456833,-33.5812,40
"95","666",1,115.35715,-33.5511167,40
"96","672",27,115.53565,-33.4004333,40
"97","679",25,115.4152667,-33.4721333,20
"98","682",4,115.3354167,-33.5696167,40
"99","684",5,115.1735,-33.5845333,20
"100","698",3,115.4035333,-33.5246167,40
"101","7",31,115.4457,-33.4204833,40
"102","719",2,115.23245,-33.6009667,40
"103","746",4,115.3570667,-33.5794333,40
"104","748",27,115.5138333,-33.3695667,40
"105","75",6,115.29455,-33.5893333,40
"106","755",31,115.4571167,-33.43385,40
"107","759",6,115.3173333,-33.5759,40
"108","762",3,115.4149,-33.5198667,40
"109","764",27,115.49605,-33.3744333,40
"110","779",2,115.2263667,-33.5817167,40
"111","78",10,115.4437667,-33.5076,40
"112","782",10,115.4368333,-33.5142,40
"113","783",2,115.2263667,-33.5817167,40
"114","79",2,115.2308833,-33.5874,40
"115","791",10,115.4435167,-33.4851333,40
"116","800",5,115.1934833,-33.5731667,20
"117","810",1,115.3766,-33.5513333,40
"118","823",6,115.2872167,-33.5857333,40
"119","826",1,115.4005833,-33.5426833,40
"120","843",8,115.2586,-33.5999833,40
"121","855",10,115.4357667,-33.4901,40
"122","858",4,115.3461833,-33.5573167,20
"123","86",5,115.1785167,-33.5405167,40
"124","87",10,115.4589333,-33.4896,40
"125","91",2,115.2060833,-33.5396,40
"126","96",25,115.4808167,-33.4489,40
"127","GBR-BOB",2,115.2205667,-33.59235,1
"128","GBR1-2",5,115.1995333,-33.5936,40
"129","GBR1-3",2,115.2022833,-33.5937833,20
"130","GBR1-4",2,115.2055167,-33.59345,40
"131","GBR4-1",2,115.2080833,-33.5933333,20
"132","GBR4-2",2,115.2102333,-33.5928333,38
"133","GBR5-1",2,115.2119333,-33.5932167,40
"134","GBR5-2",2,115.2148,-33.5927333,40
"135","GBR5-3",2,115.2175167,-33.5924167,20
"136","MF-GB036",8,115.2475977,-33.59150085,1
"137","MF-GB037",8,115.2511973,-33.59039751,1
"138","MF-GB047",5,115.1982978,-33.59060326,1
"139","MF-GB064",5,115.1880948,-33.58179718,1
"140","MF-GB080",2,115.2168001,-33.57639775,1
"141","MF-GB101",5,115.1940952,-33.56579717,1
"142","MF-GB112",8,115.2335002,-33.568404,1
"143","MF-GB113",8,115.2362963,-33.56969737,20
"144","MF-GB126",2,115.2287952,-33.56669549,1
"145","MF-GB128",8,115.2369006,-33.56540445,20
